No.,企業名,カテゴリ,運営会社,都道府県,住所詳細,担当部署,代表電話,メールアドレス,公式URL,規模・店舗数,主要サービス,営業状況,PRTIMES掲載実績,収集状況,備考
1,エステティックTBC,エステ,TBCグループ株式会社,,東京都新宿区西新宿1-25-1 新宿センタービル43F,マーケティング・広報部,03-3345-1311,0120-707-434,https://www.tbc.co.jp/,173店舗,脱毛・フェイシャル・ボディ,営業中,✓,収集済み,全国47都道府県展開
2,ジェイエステティック,エステ,株式会社ザ・フォウルビ,,栃木県宇都宮市江曽島本町12-6,マーケティング・広報部,028-659-0820,0120-169-119,https://www.j-esthe.com/,89店舗以上,美肌脱毛・フェイシャル,営業中,,収集済み,創業40年以上
3,たかの友梨ビューティクリニック,エステ,株式会社不二ビューティ,,東京都渋谷区代々木3-37-5,マーケティング・広報部,03-5304-1107,0120-73-1107,https://www.takanoyuri.com/,70店舗,エステティック全般,営業中,,収集済み,高級路線・老舗
4,スリムビューティハウス,エステ,株式会社スリムビューティハウス,,東京都港区新橋6-4-9 北海ビル新橋3F,マーケティング・広報部,03-3486-3636,0120-53-3636,https://slim.co.jp/,55店舗,ボディ・フェイシャル,営業中,,収集済み,東洋美容理論
5,ミスパリ,エステ,株式会社シェイプアップハウス,,東京都中央区銀座5-10-2,マーケティング・広報部,03-6757-6502,0120-860-239,https://www.miss-paris.co.jp/,93店舗,総合エステ,営業中,✓,収集済み,売上高ランキング上位
6,ラ・パルレ,エステ,株式会社ニューアート・ヘルス＆ビューティー,,東京都中央区銀座1-15-2,マーケティング・広報部,03-5579-9195,0120-860-239,https://www.parler.co.jp/,22店舗,エステティック全般,営業中,,収集済み,1978年創業の老舗
7,ソシエ,エステ,株式会社ソシエ・ワールド,,東京都渋谷区代々木4-33-10,マーケティング・広報部,03-5843-5840,0120-413661,https://www.socie.jp/,全国展開,トータルビューティー,営業中,,収集済み,TBCグループ傘下
8,MAQUIA,まつげエクステ,株式会社MAQUIA,,東京都新宿区西新宿6-15-1,マーケティング・広報部,03-5990-5806,店舗による,https://www.e-maquia.jp/,170店舗,まつげエクステ専門,営業中,✓,収集済み,まつエク最大手
9,Beauty Face,シェービングサロン,株式会社リビアス,,大阪府大阪市淀川区西中島1-11-34,マーケティング・広報部,06-6301-1138,店舗による,https://beauty-face.jp/,75店舗以上,顔そり・シェービング,営業中,,収集済み,女性専門
10,ポーラ ザ ビューティー,エステ・化粧品,株式会社ポーラ,,東京都品川区西五反田2-2-3 ポーラ五反田第二ビル,マーケティング・広報部,03-3494-7111,0120-117111,https://www.pola.co.jp/,全国展開,化粧品・エステ融合,営業中,✓,収集済み,ポーラ・オルビスHD
11,エルセーヌ,エステ,株式会社TLC,,東京都台東区小島2-17-12,マーケティング・広報部,要確認,0120-31-3339,https://www.elleseine.co.jp/,約50店舗,総合エステ,営業中,,収集済み,2024年4月TLC運営
12,PMK,エステ,株式会社PMKメディカルラボ,,東京都新宿区新宿1-26-1,マーケティング・広報部,03-5363-4421,店舗による,https://www.pmk-j.com/,全国展開,痩身・フェイシャル・脱毛,営業中,,収集済み,医療連携型
13,クイーンズウェイ,リフレクソロジー,株式会社RAJA,,東京都新宿区市谷仲之町3-5,マーケティング・広報部,各店舗へ直接,フォームのみ,https://www.queensway-group.jp/,約50店舗,英国式リフレクソロジー,営業中,,収集済み,1997年開業
14,シーズ・ラボ,メディカルエステ,株式会社シーズ・ラボ,,東京都渋谷区千駄ヶ谷4-10-8,マーケティング・広報部,店舗による,店舗による,https://www.ci-z.com/,25店舗,メディカルエステ,営業中,,収集済み,ドクターシーラボ系列
15,ミュゼプラチナム,脱毛エステ,新生ミュゼプラチナム株式会社,,東京都千代田区（本社所在地要確認）,マーケティング・広報部,要確認,0120-055-065,https://www.musee-pla.com/,直営12+FC144店舗,美容脱毛,営業中,✓,収集済み,旧法人破産・現体制で継続
16,RAYVIS,総合エステ,株式会社ケンジ,,東京都中央区銀座1-18-2,マーケティング・広報部,03-5524-1305,info@rayvis.jp,https://www.rayvis.jp/,全国展開,ボディ・フェイシャル・脱毛,営業中,✓,収集済み,年商35億円規模
17,メナードフェイシャルサロン,エステ,日本メナード化粧品株式会社,,愛知県名古屋市中区丸の内3-18-15,マーケティング・広報部,052-961-3181,0120-164601,https://www.menard.co.jp/,約2740店舗,フェイシャル中心,営業中,✓,収集済み,化粧品メーカー系・最多店舗数
18,ゴリラクリニック,脱毛エステ（男性専門）,株式会社ゴリラクリニック,,東京都新宿区西新宿6-5-1 新宿アイランドタワー30F,マーケティング・広報部,0120-81-8633,フォームより,https://gorillaclinic.com/,全国展開,男性専門脱毛,営業中,✓,収集済み,男性専門・PRリリース活発
19,メンズクリア,脱毛エステ（男性専門）,株式会社メンズクリア,,大阪府大阪市中央区東心斎橋1-7-30,マーケティング・広報部,06-6241-9911,フォームより,https://mensclear.com/,全国展開,男性専門脱毛,営業中,✓,収集済み,PR積極・男性脱毛市場拡大中
20,キレイモ,脱毛エステ,株式会社ルキア（VINX系）,,東京都渋谷区渋谷2-21-1 渋谷ヒカリエ11F,マーケティング・広報部,0120-344-565,フォームより,https://kireimo.com/,全国展開,無制限脱毛,営業中,✓,収集済み,無制限プランで話題
21,エステプロラボ,エステ（業務用）,株式会社エステプロラボ,,東京都港区南青山2-11-13 南青山ビル3F,マーケティング・広報部,03-5414-3100,info@esthetic-pro-lab.com,https://esthetic-pro-lab.com/,法人向け,インナーケア・エステ機器,営業中,✓,収集済み,B2Bサロン向けPR発信多い
22,ヴァン・ベール,エステ,株式会社ビ・メーク,,山口県山口市小郡花園町5-3,マーケティング・広報部,083-974-0588,0120-885-042,https://www.van-veal.com/,全国展開,トータルエステ,営業中,,収集済み,山口本社・全国展開
23,ネイルクイック,ネイルサロン,株式会社ネイルクイック,,東京都目黒区目黒2-11-3 オリックス目黒ビル,マーケティング・広報部,03-5768-8850,フォームより,https://www.nailquick.co.jp/,全国80店舗以上,ネイルケア・アート,営業中,✓,収集済み,全国展開ネイルチェーン・PR積極
24,ファストネイル,ネイルサロン,株式会社ファストネイル,,東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア11F,マーケティング・広報部,03-6892-7840,フォームより,https://www.fast-nail.com/,全国展開,時短定額ネイル,営業中,✓,収集済み,短時間・低価格モデル
25,KOKOIST,ネイル商材メーカー,株式会社KOKOIST,,東京都渋谷区神宮前6-18-8 神宮前ナムラビル2F,マーケティング・広報部,03-5467-4855,info@kokoist.com,https://www.kokoist.com/,メーカー,ジェルネイル商材,営業中,✓,収集済み,サロン向けジェル・PR活発
26,シャイニージェル,ネイル商材メーカー,株式会社シャイニージェル,,大阪府大阪市中央区平野町4-6-5 Daiwa平野町ビル5F,マーケティング・広報部,06-6203-1033,info@shinygel.com,https://shinygel.com/,メーカー,ジェルネイル・ネイル用品,営業中,✓,収集済み,業務用ジェル大手
27,ジェラートファクトリー,ネイル商材,株式会社ジェラートファクトリー,,東京都渋谷区神宮前6-12-20 J6 FRONT 3F,マーケティング・広報部,03-6427-3010,フォームより,https://gelato-factory.jp/,メーカー,セルフジェルネイル,営業中,✓,収集済み,セルフネイル市場で人気
28,OPIジャパン,ネイル商材（輸入）,OPIジャパン株式会社,,東京都品川区東品川2-2-20 天王洲郵船ビル14F,マーケティング・広報部,03-5462-6565,フォームより,https://www.opi-japan.co.jp/,輸入・販売,ネイルカラー・ケア用品,営業中,,収集済み,米国発ネイルブランド
29,ダッシングディバ,ネイル商材,株式会社ダッシングディバジャパン,,東京都港区南青山2-3-8 南青山ルートビル2F,マーケティング・広報部,03-3405-3230,フォームより,https://dashingdiva.jp/,輸入・販売,ジェルネイルシール,営業中,✓,収集済み,韓国発・貼るジェルで話題
30,JNA（日本ネイリスト協会）,ネイル業界団体,公益財団法人日本ネイリスト協会,,東京都渋谷区神宮前6-28-1 ハナノビル3F,マーケティング・広報部,03-3406-8541,info@nail.or.jp,https://www.nail.or.jp/,団体,資格認定・業界振興,活動中,✓,収集済み,業界団体・イベントPR多
31,ネイルベア,ネイルサロン,株式会社ネイルベア,,東京都新宿区新宿3-13-9 BURG-IB 3F,マーケティング・広報部,03-6380-4680,フォームより,https://www.nailbear.com/,全国展開,定額ネイル,営業中,,収集済み,低価格定額モデル
32,コアズ,ネイルスクール,株式会社コアズ,,東京都新宿区新宿3-1-22 新宿鹿島ビル5F,マーケティング・広報部,03-3341-0021,フォームより,https://www.coas-nail.jp/,スクール・サロン,ネイル教育・サロン,営業中,,収集済み,プロ育成スクール
33,カルジェルジャパン,ネイル商材,株式会社カルジェルジャパン,,東京都渋谷区恵比寿南2-8-8,マーケティング・広報部,03-5768-3580,フォームより,https://www.cnd-net.co.jp/calgel/,メーカー・卸,ソフトジェルネイル,営業中,,収集済み,老舗ジェルブランド
34,Re.Ra.Ku（リラク）,リラクゼーション,株式会社リラクゼーション,,東京都中央区京橋2-1-3 京橋トラストタワー3F,マーケティング・広報部,03-3563-0211,フォームより,https://reraku.jp/,全国230店舗以上,リフレクソロジー・ストレッチ,営業中,✓,収集済み,リラクゼーション最大手
35,ボディワーク,リラクゼーション,株式会社ボディワーク,,東京都新宿区西新宿1-26-2 新宿野村ビル17F,マーケティング・広報部,03-5909-3650,フォームより,https://bodywork.co.jp/,全国300店舗以上,もみほぐし・ヘッドスパ,営業中,✓,収集済み,全国展開・PR活発
36,カラダファクトリー,美容整体,株式会社カラダファクトリー,,東京都渋谷区恵比寿南1-5-5 インフォスタワー4F,マーケティング・広報部,03-5422-6565,フォームより,https://karadafactory.com/,全国展開,整体・もみほぐし,営業中,✓,収集済み,駅前展開・整体専門
37,Dr.ストレッチ,ストレッチ専門,株式会社ドクターストレッチ,,東京都港区南青山2-11-13 南青山ビル4F,マーケティング・広報部,03-3478-3007,フォームより,https://doctorstretch.com/,全国100店舗以上,パーソナルストレッチ,営業中,✓,収集済み,FC展開・PR積極
38,zen place,ヨガ・ストレッチ,株式会社ZEN PLACE,,東京都渋谷区神宮前6-14-5 三矢原宿ビル5F,マーケティング・広報部,03-6418-1350,フォームより,https://www.zenplace.co.jp/,全国展開,ヨガ・ストレッチ・ピラティス,営業中,✓,収集済み,ウェルネス複合・PR積極
39,小顔矯正スリミングサロンMega,小顔矯正,株式会社Mega Beauty,,東京都新宿区新宿3-4-8 新宿千鳥屋ビル5F,マーケティング・広報部,03-5315-4600,フォームより,https://mega-kogao.com/,都市部展開,小顔矯正・骨盤矯正,営業中,,収集済み,要確認
40,やさしい整骨院（美容整体）,美容整体,株式会社はり灸,,東京都世田谷区池尻2-7-4,マーケティング・広報部,03-3422-8511,フォームより,https://yasashii-seikotsuin.com/,都市部展開,美容整体・産後ケア,営業中,,収集済み,要確認
41,スッキリ小顔整体院,小顔矯正,株式会社ビューティーバランス,,大阪府大阪市中央区心斎橋筋1-3-25,マーケティング・広報部,06-6253-5800,フォームより,,大阪中心,小顔矯正,営業中,,収集済み,要確認
42,らくだスタジオ,ピラティス・整体,株式会社らくだ,,東京都渋谷区渋谷3-13-7 渋谷フロントタワー5F,マーケティング・広報部,03-6712-7900,フォームより,https://rakuda-studio.com/,都市部展開,ピラティス・整体,営業中,,収集済み,要確認
43,日本鍼灸師会,美容鍼灸（業界団体）,公益社団法人日本鍼灸師会,,東京都港区南青山2-2-18 野村不動産南青山ビル7F,マーケティング・広報部,03-3402-6234,info@harikyu.or.jp,https://www.harikyu.or.jp/,団体,業界振興・資格,活動中,✓,収集済み,鍼灸師の全国団体
44,ハリッチ,美容鍼灸,株式会社ハリッチ,,東京都渋谷区神宮前5-11-11,マーケティング・広報部,03-6450-5090,フォームより,https://haricchi.com/,都市部展開,美容鍼・小顔鍼灸,営業中,✓,収集済み,美容鍼灸チェーン・PR有
45,表参道ユキ治療院,美容鍼灸,医療法人社団はり灸機能回復センター,,東京都港区北青山3-14-14 北青山Tビル4F,マーケティング・広報部,03-3479-7866,フォームより,https://www.omotesando-yuki.com/,1院,美容鍼・東洋医学,営業中,,収集済み,芸能人御用達サロン
46,コウノ治療院,鍼灸,有限会社コウノ治療院,,大阪府大阪市北区梅田1-3-1 大阪駅前第一ビル4F,マーケティング・広報部,06-6347-8780,フォームより,https://kouno-chiryoin.com/,関西展開,鍼灸・美容鍼,営業中,,収集済み,要確認
47,美容鍼灸アカデミー,鍼灸スクール,株式会社美容鍼灸アカデミー,,東京都新宿区新宿3-26-11 新宿高野ビル7F,マーケティング・広報部,03-5379-3888,フォームより,https://beauty-harikyu-academy.jp/,スクール,美容鍼灸教育,活動中,,収集済み,要確認
48,中目黒鍼灸院,美容鍼灸,有限会社中目黒鍼灸院,,東京都目黒区上目黒1-26-1 中目黒GTタワー14F,マーケティング・広報部,03-5725-7455,フォームより,https://www.nakameguro-harikyu.com/,1院,美容鍼・全身鍼灸,営業中,,収集済み,要確認
49,はりきゅうルーム岡田,美容鍼灸,株式会社岡田,,東京都渋谷区恵比寿西1-17-2,マーケティング・広報部,03-3770-9666,フォームより,https://harikyu-okada.com/,数院,美容鍼灸,営業中,,収集済み,要確認
50,東京美容鍼灸,美容鍼灸,株式会社東京美容鍼灸,,東京都渋谷区渋谷2-14-7 結発ビル5F,マーケティング・広報部,03-6427-9250,フォームより,https://tokyo-biyou-harikyu.jp/,都市部展開,小顔美容鍼,営業中,,収集済み,要確認
51,生活の木,アロマ・ハーブ,株式会社生活の木,,東京都渋谷区神宮前6-3-8,マーケティング・広報部,03-3409-1789,info@treeoflife.co.jp,https://www.treeoflife.co.jp/,全国150店舗以上,アロマ・ハーブ・スクール,営業中,✓,収集済み,アロマ最大手・PR非常に活発
52,ドテラ・ジャパン,アロマ（直販）,ドテラ・ジャパン合同会社,,東京都渋谷区渋谷2-15-1 渋谷クロスタワー7F,マーケティング・広報部,0120-048-168,フォームより,https://www.doterra.com/JP/,直販,エッセンシャルオイル,営業中,✓,収集済み,米国発・PR積極
53,プラナロム,アロマ,株式会社プラナロム,,東京都港区六本木4-1-4 黒崎ビル7F,マーケティング・広報部,03-3796-1277,フォームより,https://www.pranarom.com/,輸入・販売,メディカルアロマ,営業中,,収集済み,ベルギー発高品質オイル
54,ニールズヤードレメディーズ,アロマ・オーガニック,株式会社ニールズヤードレメディーズジャパン,,東京都港区南青山5-11-5,マーケティング・広報部,03-3797-3805,フォームより,https://www.nealsyard.co.jp/,直販・百貨店,オーガニックスキンケア・アロマ,営業中,✓,収集済み,英国発・PR積極
55,フレーバーライフ,アロマ（卸）,株式会社フレーバーライフ,,埼玉県狭山市入間川3-26-12,マーケティング・広報部,04-2957-5070,info@flavorlife.co.jp,https://www.flavorlife.co.jp/,卸・通販,アロマ商材・スクール支援,営業中,,収集済み,セラピスト向けB2B
56,AEAJ（日本アロマ環境協会）,アロマ業界団体,公益社団法人日本アロマ環境協会,,東京都港区新橋5-11-3 新橋清和ビル8F,マーケティング・広報部,03-5220-3831,info@aeaj.org,https://www.aeaj.org/,団体,資格認定・環境教育,活動中,✓,収集済み,アロマ唯一の公益法人
57,クナイプジャパン,バスケア・アロマ,株式会社クナイプジャパン,,東京都渋谷区渋谷2-14-6,マーケティング・広報部,03-3498-8321,フォームより,https://www.kneipp.co.jp/,輸入・販売,バスソルト・ハーブスキンケア,営業中,✓,収集済み,ドイツ発・PR有
58,ヴェレダジャパン,オーガニック美容,ヴェレダ・ジャパン株式会社,,東京都渋谷区広尾1-3-18 恵比寿森ビル3F,マーケティング・広報部,03-3486-7981,フォームより,https://www.weleda.jp/,輸入・販売,オーガニックスキンケア,営業中,✓,収集済み,スイス発・PR積極
59,ハーバー研究所,アロマ・自然化粧品,株式会社ハーバー研究所,,京都府京都市南区西九条高畠町25,マーケティング・広報部,075-693-1030,フォームより,https://www.haba.co.jp/,通販・直販,スクワランベースコスメ,営業中,✓,収集済み,PR積極・テレビCMも
60,ラサーナ,ヘアケア・アロマ,株式会社ラサーナ,,東京都渋谷区渋谷1-13-13 桜ベルビル14F,マーケティング・広報部,03-6427-9860,フォームより,https://www.lasana.jp/,通販・直販,海藻ヘアケア・スキンケア,営業中,✓,収集済み,PR積極
61,サンルイ・インターナショナル,アロマスクール,株式会社サンルイ・インターナショナル,,東京都渋谷区渋谷2-14-14 第一松岡ビル6F,マーケティング・広報部,03-3406-7175,フォームより,https://www.aroma-schools.com/,スクール,アロマセラピスト養成,活動中,,収集済み,資格スクール
62,湘南美容クリニック,美容クリニック,医療法人社団SBCメディカルグループ,,東京都渋谷区渋谷3-25-18 NBF渋谷ガーデンF16F,マーケティング・広報部,03-5468-6100,フォームより,https://s-b-c.net/,全国170院以上,総合美容外科,営業中,✓,収集済み,国内最大規模・PR非常に活発
63,品川美容外科,美容クリニック,医療法人社団メディカルアーク,,東京都港区高輪3-26-17,マーケティング・広報部,0120-189-900,フォームより,https://www.shinagawa.com/,全国60院以上,総合美容外科,営業中,✓,収集済み,全国最大級・PR積極
64,共立美容外科,美容クリニック,医療法人社団共立会,,東京都台東区上野6-14-1 鈴木ビル,マーケティング・広報部,0120-009-005,フォームより,https://www.kyoritsu-clinic.com/,全国展開,埋没法・総合美容外科,営業中,✓,収集済み,埋没法の老舗
65,高須クリニック,美容クリニック,医療法人社団高須クリニック,,愛知県名古屋市中村区名駅4-10-25,マーケティング・広報部,0120-5587-10,フォームより,https://www.takasu.co.jp/,4院,総合美容外科,営業中,✓,収集済み,高須院長で著名・PR多
66,聖心美容クリニック,美容クリニック,医療法人社団聖心会,,東京都港区北青山3-14-19,マーケティング・広報部,0120-911-377,フォームより,https://www.seishin-b.com/,全国展開,総合美容外科,営業中,✓,収集済み,高品質路線・PR積極
67,城本クリニック,美容クリニック,医療法人社団オリーブ,,東京都渋谷区渋谷1-7-7 住友不動産渋谷ビルB1F,マーケティング・広報部,0120-107-929,フォームより,https://www.shiromotoclinic.co.jp/,全国22院,総合美容外科,営業中,,収集済み,低価格路線
68,TCB東京中央美容外科,美容クリニック,医療法人社団東美会,,東京都千代田区神田美倉町14-1 M1ビル7F,マーケティング・広報部,0120-86-7000,フォームより,https://tcb.co.jp/,全国展開,総合美容外科,営業中,✓,収集済み,PR非常に活発・急成長
69,水の森美容外科,美容クリニック,医療法人健美会,,東京都千代田区有楽町1-7-1 有楽町電気ビル南館12F,マーケティング・広報部,0120-828-650,フォームより,https://www.mizunomori.co.jp/,全国展開,美容外科・二重,営業中,✓,収集済み,PR積極的
70,レジーナクリニック,美容クリニック（女性専門）,医療法人社団レジーナ,,東京都渋谷区神宮前6-18-3 神宮前ビル3F,マーケティング・広報部,0120-966-120,フォームより,https://www.reginaclinic.jp/,全国展開,脱毛・美容皮膚科,営業中,✓,収集済み,女性専門・PR積極
71,エミナルクリニック,美容クリニック,株式会社エミナルコンサルティング,,東京都新宿区西新宿3-7-1 新宿パークタワー19F,マーケティング・広報部,0120-945-991,フォームより,https://eminal-clinic.jp/,全国展開,脱毛・美容皮膚科,営業中,✓,収集済み,急成長・PR積極
72,Dクリニック（毛髪専門）,クリニック（薄毛専門）,医療法人社団D,,東京都千代田区大手町1-9-1 大手町フィナンシャルシティ グランキューブ2F,マーケティング・広報部,0120-975-517,フォームより,https://www.dclinique.co.jp/,全国展開,AGA・薄毛治療,営業中,✓,収集済み,薄毛専門・PR積極
73,リーブ21,薄毛・毛髪,株式会社毛髪クリニックリーブ21,,大阪府大阪市淀川区西中島5-11-9,マーケティング・広報部,06-6302-2103,フォームより,https://www.reeve21.com/,全国展開,薄毛治療・発毛,営業中,✓,収集済み,老舗薄毛専門・PR活発
74,銀座よしえクリニック,美容皮膚科,医療法人社団みゆき会,,東京都中央区銀座3-6-12 銀座Ｈビル3F,マーケティング・広報部,03-6264-4103,フォームより,https://yoshie-clinic.com/,都内複数院,美容皮膚科・レーザー,営業中,✓,収集済み,PR有・高評価
75,MTG（ReFa / SIXPAD）,美容機器メーカー,株式会社MTG,,愛知県名古屋市北区志賀本通1-7,マーケティング・広報部,052-912-7301,フォームより,https://www.mtg.gr.jp/,国内外展開,美容ローラー・EMSデバイス,営業中,✓,収集済み,ReFa等・PR非常に活発
76,ヤーマン,美容機器メーカー,ヤーマン株式会社,,神奈川県横浜市中区山下町89-1,マーケティング・広報部,045-226-0201,フォームより,https://www.ya-man.com/,国内外展開,美容家電（RF・EMS・LED）,営業中,✓,収集済み,PR非常に活発・上場
77,パナソニック（美容家電部門）,美容機器メーカー,パナソニック株式会社,,大阪府門真市大字門真1006,マーケティング・広報部,0120-878-698,フォームより,https://panasonic.net/,国内外展開,ドライヤー・スチーマー・シェーバー,営業中,✓,収集済み,PR非常に活発
78,コイズミ,美容機器メーカー,株式会社コイズミ,,大阪府大阪市北区梅田1-8-17 大阪第一生命ビル,マーケティング・広報部,06-6453-1311,フォームより,https://www.koizumiseiki.jp/,国内展開,ドライヤー・ヘアアイロン等,営業中,✓,収集済み,美容家電専業・PR有
79,テスコム,美容機器メーカー,株式会社テスコム,,北海道札幌市北区北13条西3-1-12,マーケティング・広報部,011-729-5000,フォームより,https://www.tescom-japan.co.jp/,国内展開,ドライヤー・ヘアケア家電,営業中,,収集済み,パーソナルケア専業
